Movie Name,Production budget,Release day revenue,Tomatometer
Avatar,425000000,26752099,0.82
Pirates of the Caribbean: On Stranger Tides,410600000,34860549,0.33
Avengers: Age of Ultron,330600000,84424532,0.75
Star Wars Ep. VIII: The Last Jedi,317000000,104684491,-1
Star Wars Ep. VII: The Force Awakens,306000000,119119282,-1
Avengers: Infinity War,300000000,106334939,0.85
Pirates of the Caribbean: At Worldâs End,300000000,13240044,0.44
Justice League,300000000,38471202,-1
Spectre,300000000,27434579,-1
The Dark Knight Rises,275000000,75754897,0.87
The Lone Ranger,275000000,9651118,0.31
John Carter,275000000,9811935,0.52
Tangled,260000000,11869194,0.89
Spider-Man 3,258000000,59841919,0.63
Captain America: Civil War,250000000,75502161,0.91
Batman v Superman: Dawn of Justice,250000000,81558505,0.27
The Hobbit: An Unexpected Journey,250000000,37125547,0.65
Harry Potter and the Half-Blood Prince,250000000,58175412,-1
The Hobbit: The Desolation of Smaug,250000000,31190587,0.74
The Hobbit: The Battle of the Five Armies,250000000,24452117,0.59
The Fate of the Furious,250000000,45695015,0.68
Solo: A Star Wars Story,250000000,35375125,0.7
Superman Returns,232000000,21037277,0.75
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,23567874,0.29
Quantum of Solace,230000000,27007026,0.65
The Avengers,225000000,80813985,-1
Pirates of the Caribbean: Dead Manâs Chest,225000000,55830600,0.53
Man of Steel,225000000,12062124,-1
The Chronicles of Narnia: Prince Caspian,225000000,19397743,-1
The Amazing Spider-Man,220000000,850000,-1
Battleship,220000000,8782225,0.34
Transformers: The Last Knight,217000000,15658535,0.15
Jurassic World,215000000,81953950,0.72
Men in Black 3,215000000,17664409,-1
Transformers: Revenge of the Fallen,210000000,62016476,0.19
Transformers: Age of Extinction,210000000,41868135,0.18
X-Men: The Last Stand,210000000,45102265,-1
Robin Hood,210000000,13031160,-1
King Kong,207000000,9755745,0.84
The Golden Compass,205000000,8689000,0.42
Black Panther,200000000,75941146,-1
Titanic,200000000,8658814,0.89
Incredibles 2,200000000,71260321,0.94
Rogue One: A Star Wars Story,200000000,71094394,0.83
Finding Dory,200000000,54746405,0.94
Toy Story 3,200000000,41148961,0.98
Iron Man 3,200000000,68858555,0.8
Guardians of the Galaxy Vol 2,200000000,56078520,0.83
Spider-Man 2,200000000,40442604,0.93
Alice in Wonderland,200000000,40804962,-1
Skyfall,200000000,2200000,0.92
Monsters University,200000000,30473099,0.79
Oz the Great and Powerful,200000000,24096622,0.59
X-Men: Days of Future Past,200000000,35511974,-1
The Amazing Spider-Man 2,200000000,35167017,-1
Cars 2,200000000,25717785,0.38
Tron: Legacy,200000000,17509781,-1
2012,200000000,23441334,-1
Fantastic Beasts: The Crimes of Grindelwald,200000000,25473261,0.37
Terminator Salvation,200000000,13372491,0.33
Green Lantern,200000000,21386523,0.26
Prince of Persia: Sands of Time,200000000,10208668,0.36
Transformers: Dark of the Moon,195000000,5500000,0.35
The Mummy,195000000,12035605,-1
Jack the Giant Slayer,195000000,7693563,0.52
Furious 7,190000000,67407340,0.81
Star Trek Into Darkness,190000000,13536422,0.85
World War Z,190000000,25196879,0.66
The Great Gatsby,190000000,19412782,-1
Disneyâs A Christmas Carol,190000000,8883262,-1
Pacific Rim,190000000,14562934,-1
The Good Dinosaur,187500000,9760677,0.76
Iron Man,186000000,38734361,0.93
The Dark Knight,185000000,67165092,0.94
Indiana Jones and the Kingdom of the Crystal Skull,185000000,25041072,0.78
Brave,185000000,24635336,-1
Kong: Skull Island,185000000,20143072,0.75
Star Trek Beyond,185000000,22254377,0.85
Blade Runner 2049,185000000,12595704,-1
Thor: Ragnarok,180000000,46470936,0.92
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,23006856,-1
Maleficent,180000000,24297459,0.54
Fantastic Beasts and Where to Find Them,180000000,29661434,0.75
WALL-E,180000000,23164108,-1
Rush Hour 3,180000000,19103000,0.18
The Legend of Tarzan,180000000,14051421,0.36
Hugo,180000000,1681250,0.93
Valerian and the City of a Thousand Planets,180000000,6495217,0.49
Jupiter Ascending,179000000,6334002,0.26
Mission: ImpossibleâFallout,178000000,22803458,-1
X-Men: Apocalypse,178000000,26302191,-1
The Meg,178000000,16604015,0.46
Edge of Tomorrow,178000000,10605165,0.9
The Jungle Book,175000000,32013316,-1
Inside Out,175000000,34266177,-1
Spider-Man: Homecoming,175000000,50780982,-1
Suicide Squad,175000000,64893248,-1
Up,175000000,21481834,0.98
Coco,175000000,13187576,-1
Ralph Breaks The Internet,175000000,18340440,0.88
Monsters vs. Aliens,175000000,16754032,0.73
Cars 3,175000000,19595034,0.7
G.I. Joe: The Rise of Cobra,175000000,22159303,0.34
Wild Wild West,175000000,7074603,0.17
The Mummy: Tomb of the Dragon Emperor,175000000,15228130,-1
Evan Almighty,175000000,11406660,0.23
Waterworld,175000000,32118480,0.44
King Arthur: Legend of the Sword,175000000,5273310,0.31
47 Ronin,175000000,7031735,0.15
Singularity,175000000,-1,-1
Jurassic World: Fallen Kingdom,170000000,58566870,0.48
Guardians of the Galaxy,170000000,37845336,0.91
Iron Man 2,170000000,51239677,0.73
Captain America: The Winter Soldier,170000000,36926192,0.9
Dawn of the Planet of the Apes,170000000,27645087,0.9
The Polar Express,170000000,2568506,-1
Snow White and the Huntsman,170000000,20468525,0.49
Terminator 3: Rise of the Machines,170000000,4036000,0.69
Van Helsing,170000000,19700000,0.24
Tomorrowland,170000000,9722075,-1
Alice Through the Looking Glass,170000000,9701973,-1
Shrek Forever After,165000000,20802341,0.58
Doctor Strange,165000000,32585335,-1
Big Hero 6,165000000,15809055,0.89
How to Train Your Dragon,165000000,12111766,0.99
Wreck-It Ralph,165000000,14232730,-1
Interstellar,165000000,1350209,0.72
Independence Day: Resurgence,165000000,16822551,0.29
Cowboys and Aliens,163000000,13087485,0.45
Beauty and the Beast,160000000,63777443,-1
Aquaman,160000000,27733155,0.65
